,para,equity_curve
1655,"[370, 4.0]",1.1647012374310741
2784,"[620, 4.4]",1.1637278141056693
1977,"[440, 4.7]",1.1590356328246665
3551,"[790, 4.6]",1.1572846701129558
2817,"[630, 3.2]",1.1561227148480684
2821,"[630, 3.6]",1.1525653992979397
1028,"[230, 4.3]",1.1478192636527151
2865,"[640, 3.5]",1.1471648747008247
4364,"[970, 4.9]",1.1416229841917724
3010,"[670, 4.5]",1.1346334790196986
1748,"[390, 4.3]",1.1317787952593688
2816,"[630, 3.1]",1.1284422035965356
2652,"[590, 4.7]",1.127676883841137
1749,"[390, 4.4]",1.127542829476695
2508,"[560, 3.8]",1.1268284765408598
2909,"[650, 3.4]",1.126818869253111
2517,"[560, 4.7]",1.1205070699538597
2426,"[540, 4.6]",1.1192839013008087
4319,"[960, 4.9]",1.116952457022321
1116,"[250, 4.1]",1.1153282147186896
4409,"[980, 4.9]",1.1110665428922573
2380,"[530, 4.5]",1.1026046728345318
2471,"[550, 4.6]",1.1011315092582907
2562,"[570, 4.7]",1.095959354875578
2828,"[630, 4.3]",1.0937931837579953
2425,"[540, 4.5]",1.0909299111285395
3236,"[720, 4.6]",1.0868255311228687
3101,"[690, 4.6]",1.0795879794737644
2923,"[650, 4.8]",1.078748763766564
3191,"[710, 4.6]",1.077524676151394
2332,"[520, 4.2]",1.071569669494128
2642,"[590, 3.7]",1.0692759697926486
2785,"[620, 4.5]",1.0692388140141078
3641,"[810, 4.6]",1.0639110743535842
3281,"[730, 4.6]",1.0638830200917135
1658,"[370, 4.3]",1.0592142752264673
2333,"[520, 4.3]",1.0590150827429765
2470,"[550, 4.5]",1.0589887960157103
2334,"[520, 4.4]",1.0587091182419626
1394,"[310, 4.9]",1.052894081012073
2827,"[630, 4.2]",1.0507148085553473
2921,"[650, 4.6]",1.0480658317800267
2862,"[640, 3.2]",1.046053430755197
2861,"[640, 3.1]",1.0374924631866693
1026,"[230, 4.1]",1.0315080090954838
1529,"[340, 4.9]",1.031449923632815
2375,"[530, 4.0]",1.02625286325659
1704,"[380, 4.4]",1.0242826822037647
1794,"[400, 4.4]",1.0208767433109995
2782,"[620, 4.2]",1.017068703566194
3146,"[700, 4.6]",1.013165031299399
1614,"[360, 4.4]",1.0129113098021862
2965,"[660, 4.5]",1.01057427139547
2422,"[540, 4.2]",1.0087833875822056
1609,"[360, 3.9]",1.0068058888803695
3000,"[670, 3.5]",1.0022432382213025
2335,"[520, 4.5]",1.0006661173335936
1790,"[400, 4.0]",1.00043608126337
32,"[10, 3.7]",1.0
33,"[10, 3.8]",1.0
34,"[10, 3.9]",1.0
35,"[10, 4.0]",1.0
36,"[10, 4.1]",1.0
83,"[20, 4.3]",1.0
37,"[10, 4.2]",1.0
38,"[10, 4.3]",1.0
39,"[10, 4.4]",1.0
44,"[10, 4.9]",1.0
43,"[10, 4.8]",1.0
42,"[10, 4.7]",1.0
31,"[10, 3.6]",1.0
28,"[10, 3.3]",1.0
30,"[10, 3.5]",1.0
29,"[10, 3.4]",1.0
40,"[10, 4.5]",1.0
27,"[10, 3.2]",1.0
84,"[20, 4.4]",1.0
26,"[10, 3.1]",1.0
25,"[10, 3.0]",1.0
85,"[20, 4.5]",1.0
86,"[20, 4.6]",1.0
87,"[20, 4.7]",1.0
88,"[20, 4.8]",1.0
89,"[20, 4.9]",1.0
41,"[10, 4.6]",1.0
2290,"[510, 4.5]",0.9987164467533342
1027,"[230, 4.2]",0.9969255214860006
3539,"[790, 3.4]",0.9881400124452344
2820,"[630, 3.5]",0.9867853085642005
2423,"[540, 4.3]",0.9854761546411894
2468,"[550, 4.3]",0.9844649982345007
1707,"[380, 4.7]",0.9811642583120547
2686,"[600, 3.6]",0.9774735900251451
2739,"[610, 4.4]",0.9737712817335055
2378,"[530, 4.3]",0.9713727712562297
2907,"[650, 3.2]",0.970220537882799
1933,"[430, 4.8]",0.9692486827994441
3326,"[740, 4.6]",0.9654514247233477
2515,"[560, 4.5]",0.9646890670692686
1836,"[410, 4.1]",0.9620837112675562
2196,"[490, 4.1]",0.9600702272658668
2910,"[650, 3.5]",0.9564758696547726
1792,"[400, 4.2]",0.9544017225178739
3045,"[680, 3.5]",0.9533304582178115
2694,"[600, 4.4]",0.9529101405386897
2379,"[530, 4.4]",0.942306981130448
2826,"[630, 4.1]",0.942225284902614
2466,"[550, 4.1]",0.9390851114781649
1484,"[330, 4.9]",0.9328607483279161
2777,"[620, 3.7]",0.9299174064848715
1745,"[390, 4.0]",0.9295208891279689
2420,"[540, 4.0]",0.9272167842887163
1701,"[380, 4.1]",0.9255576560985922
1117,"[250, 4.2]",0.9252453468441076
3372,"[750, 4.7]",0.922579547913708
2741,"[610, 4.6]",0.921006519645416
2558,"[570, 4.3]",0.9209729638567612
2605,"[580, 4.5]",0.918135859177029
2867,"[640, 3.7]",0.9133228386874261
2331,"[520, 4.1]",0.912841221551991
2829,"[630, 4.4]",0.9114571770857184
1698,"[380, 3.8]",0.9077913555397611
2687,"[600, 3.7]",0.9048293303159806
2650,"[590, 4.5]",0.904553348287344
3056,"[680, 4.6]",0.9034064433100045
2513,"[560, 4.3]",0.9025187873969723
2377,"[530, 4.2]",0.9003065053788611
4454,"[990, 4.9]",0.9001502708133574
3223,"[720, 3.3]",0.8976402140249745
2607,"[580, 4.7]",0.8951586803743002
3268,"[730, 3.3]",0.8940118438653171
1705,"[380, 4.5]",0.8918371170558695
4080,"[910, 3.5]",0.8875685495880049
3088,"[690, 3.3]",0.8872714513958758
2561,"[570, 4.6]",0.8870357837981191
2560,"[570, 4.5]",0.8870357837981191
2516,"[560, 4.6]",0.8870357837981191
3011,"[670, 4.6]",0.8862358127844099
2462,"[550, 3.7]",0.8851299476151743
2778,"[620, 3.8]",0.8848504190018187
3357,"[750, 3.2]",0.8844869793121678
3584,"[800, 3.4]",0.8801691102742825
1708,"[380, 4.8]",0.8770248754779916
1074,"[240, 4.4]",0.8755271603182039
2967,"[660, 4.7]",0.8754315022013437
3686,"[820, 4.6]",0.8750802937305979
2234,"[500, 3.4]",0.8747419109085934
1528,"[340, 4.8]",0.8735589360011473
2832,"[630, 4.7]",0.8727572701614406
2190,"[490, 3.5]",0.8722599096952377
2324,"[520, 3.4]",0.870100334489961
1752,"[390, 4.7]",0.8693034937274544
1709,"[380, 4.9]",0.8676376594254263
2279,"[510, 3.4]",0.8666612094311243
2507,"[560, 3.7]",0.86495091206942
2738,"[610, 4.3]",0.8645579203699577
2877,"[640, 4.7]",0.8612309895257857
1564,"[350, 3.9]",0.8610569396486201
2598,"[580, 3.8]",0.8609315248612561
1162,"[260, 4.2]",0.8605562619913154
2954,"[660, 3.4]",0.8597221787633273
2692,"[600, 4.2]",0.856107060902161
2874,"[640, 4.4]",0.8556392785743584
3178,"[710, 3.3]",0.8530403909616798
3012,"[670, 4.7]",0.8456519205784627
3629,"[810, 3.4]",0.8441074580229302
2955,"[660, 3.5]",0.8438543102568239
2376,"[530, 4.1]",0.8423677495350366
2241,"[500, 4.1]",0.8396438036019597
2742,"[610, 4.7]",0.8372892206323279
2421,"[540, 4.1]",0.8344797689738293
2557,"[570, 4.2]",0.8341588295473805
2418,"[540, 3.8]",0.8332280091456473
3312,"[740, 3.2]",0.83168601172934
2732,"[610, 3.7]",0.8311537592882539
2464,"[550, 3.9]",0.8299724934743694
1070,"[240, 4.0]",0.8294673877247215
1972,"[440, 4.2]",0.8270360281629895
1615,"[360, 4.5]",0.8265314851035105
2695,"[600, 4.5]",0.8259641184891523
3460,"[770, 4.5]",0.8250507395652882
2504,"[560, 3.4]",0.8210244570601392
2873,"[640, 4.3]",0.82091997960654
1574,"[350, 4.9]",0.8206510055433403
2465,"[550, 4.0]",0.8199955174955227
2289,"[510, 4.4]",0.8189273665795264
1653,"[370, 3.8]",0.8179472694280085
3100,"[690, 4.5]",0.8171293906213968
2956,"[660, 3.6]",0.8161213761647776
4184,"[930, 4.9]",0.815884273166621
1838,"[410, 4.3]",0.8153470863944844
2823,"[630, 3.8]",0.8143197409329734
2731,"[610, 3.6]",0.8142451105943178
1702,"[380, 4.2]",0.8142370246361516
2512,"[560, 4.2]",0.8136630976529372
1882,"[420, 4.2]",0.8127699963674736
3733,"[830, 4.8]",0.8103991724012233
3090,"[690, 3.5]",0.8101935044321319
2911,"[650, 3.6]",0.8083238624361273
1573,"[350, 4.8]",0.8061773064264789
2546,"[570, 3.1]",0.8056047018745854
